"source","source_id","app","author","date_iso","country","rating","title","body","url","parent_id","score_or_upvotes","raw_json"
"play_store","d309f368-cae5-459c-9b01-2c225f71b328","flow","Sakuraly","2026-05-26T10:49:18","th","5","","ขอบคุณค่ะ, ใช้ได้ดีและใช้ง่ายมากเลยค่ะ","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=d309f368-cae5-459c-9b01-2c225f71b328","","0","{""reviewId"": ""d309f368-cae5-459c-9b01-2c225f71b328"", ""userName"": ""Sakuraly"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjUNQzWv70it0KB-uNm171Lu9L43LwUtqdPiKLtXShzGUi5wtwQ"", ""content"": ""ขอบคุณค่ะ, ใช้ได้ดีและใช้ง่ายมากเลยค่ะ"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 10:49:18"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","390abed0-6558-45dd-b233-272d8a9f9958","flow","james albert","2026-05-26T10:34:22","us","1","","worst interface and lagging and no drag drop feature and no account switch feature like gemini","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=390abed0-6558-45dd-b233-272d8a9f9958","","0","{""reviewId"": ""390abed0-6558-45dd-b233-272d8a9f9958"", ""userName"": ""james albert"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjUmizv_lP2fuQVPdUiJ1BecBAT7O87ryWgL7ytBKqdiDZw5EYQ"", ""content"": ""worst interface and lagging and no drag drop feature and no account switch feature like gemini"", ""score"": 1, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 10:34:22"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","c46f3d44-6a93-49ff-9f22-b363129c21af","flow","Harids Saha","2026-05-26T09:54:21","us","5","","not good","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=c46f3d44-6a93-49ff-9f22-b363129c21af","","0","{""reviewId"": ""c46f3d44-6a93-49ff-9f22-b363129c21af"", ""userName"": ""Harids Saha"", ""userImage"": ""https://play-lh.googleusercontent.com/a/ACg8ocLSuq_rVy-oEx7S6p503KyVXqsqPKHMDPaoR4rsAHhNmJBmbbs=mo"", ""content"": ""not good"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 09:54:21"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","9afd00fc-2930-4185-a439-0b33ce4f87a1","flow","Anowar Hossein","2026-05-26T09:09:18","us","5","","nice","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=9afd00fc-2930-4185-a439-0b33ce4f87a1","","0","{""reviewId"": ""9afd00fc-2930-4185-a439-0b33ce4f87a1"", ""userName"": ""Anowar Hossein"", ""userImage"": ""https://play-lh.googleusercontent.com/a/ACg8ocIaT3YVuTgzcwzMuyJJpg-D_GZ3wAz6IH-ZcUoi9NBVmgmKBw=mo"", ""content"": ""nice"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 09:09:18"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","37f15095-b715-4e39-b301-60b1e8abf54b","flow","Niko Lie","2026-05-26T07:37:28","id","1","","loading... pas mau login","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=37f15095-b715-4e39-b301-60b1e8abf54b","","0","{""reviewId"": ""37f15095-b715-4e39-b301-60b1e8abf54b"", ""userName"": ""Niko Lie"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjUwcJQA-KpqlF-ZVf7HMLICDvSKV2VAg2l1tekmxsDnCacghIMd"", ""content"": ""loading... pas mau login"", ""score"": 1, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 07:37:28"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","89cd019d-a5e9-43ee-b412-61a8e5c20c8d","flow","Flores Bustillos","2026-05-26T05:31:43","es","5","","chapis","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=89cd019d-a5e9-43ee-b412-61a8e5c20c8d","","0","{""reviewId"": ""89cd019d-a5e9-43ee-b412-61a8e5c20c8d"", ""userName"": ""Flores Bustillos"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjXcKnu3oVcFTOqzRZZxxuwGhLMQcJgWVWXW74ocdBWkTR2SFq1A"", ""content"": ""chapis"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 05:31:43"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","4bd773e6-9d01-4066-b41f-3f009f5fd59d","flow","burtryan salonga","2026-05-26T05:25:17","us","5","","Google ...","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=4bd773e6-9d01-4066-b41f-3f009f5fd59d","","0","{""reviewId"": ""4bd773e6-9d01-4066-b41f-3f009f5fd59d"", ""userName"": ""burtryan salonga"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjXWQVu1ArV6xVqyolZK8G0nm0vHXD3lKMpazBPj-eJCCDnmsGQ"", ""content"": ""Google ..."", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 05:25:17"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","4cd61406-5a76-4414-ab93-178a476d525a","flow","KANAPARTHI AJAYPRABHU","2026-05-26T04:58:43","in","5","","నాకు ఫ్రీ అకౌంటు ఇవ్వండి","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=4cd61406-5a76-4414-ab93-178a476d525a","","0","{""reviewId"": ""4cd61406-5a76-4414-ab93-178a476d525a"", ""userName"": ""KANAPARTHI AJAYPRABHU"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjVpKQ8kmyZoBwTYo7aHrnlbeW-sZNg1Jw5mBkXbZEC-Xr1NG6LW_A"", ""content"": ""నాకు ఫ్రీ అకౌంటు ఇవ్వండి"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 04:58:43"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","c35085af-ec5f-4177-84d9-df9d7250af5e","flow","Edson Rodrigues de Souza","2026-05-26T01:38:47","pt","1","","tem futuro.","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=c35085af-ec5f-4177-84d9-df9d7250af5e","","0","{""reviewId"": ""c35085af-ec5f-4177-84d9-df9d7250af5e"", ""userName"": ""Edson Rodrigues de Souza"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjUEz1i_9vu_NjmlPXdydDPAL_kwIxLnMIqakQmc9YbCnPB4F4vT2A"", ""content"": ""tem futuro."", ""score"": 1, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 01:38:47"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","3e09e6fb-825d-44f5-bee7-e82ce9e38fbf","flow","Dr.Abdullah","2026-05-26T00:49:50","sa","5","","افضل تطبيق على الإطلاق 🥰😘","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=3e09e6fb-825d-44f5-bee7-e82ce9e38fbf","","0","{""reviewId"": ""3e09e6fb-825d-44f5-bee7-e82ce9e38fbf"", ""userName"": ""Dr.Abdullah"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjUFq1fhUOmQ5SQJfcTCDRqzr2F8DJmf7RcsLfP-RULXMlq46n0"", ""content"": ""افضل تطبيق على الإطلاق 🥰😘"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": null, ""at"": ""2026-05-26 00:49:50"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": null}"
"play_store","a2491cbc-36f4-499e-91a1-628998d1f2a4","flow","Tijn Peeters (DeZeeKees)","2026-05-26T00:47:21","us","1","","lags like hell when loading big projects. takes forever to load Images","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=a2491cbc-36f4-499e-91a1-628998d1f2a4","","0","{""reviewId"": ""a2491cbc-36f4-499e-91a1-628998d1f2a4"", ""userName"": ""Tijn Peeters (DeZeeKees)"", ""userImage"": ""https://play-lh.googleusercontent.com/a/ACg8ocIDsL_ZM1C9r_xwZ_QuEK8ulgwngF4Fov_0t0JK4GBLFNhdMGU=mo"", ""content"": ""lags like hell when loading big projects. takes forever to load Images"", ""score"": 1, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 00:47:21"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","a8f943ce-7f81-46b7-bce7-3fee4baa2c4f","flow","Alkhalil Alsharfi","2026-05-26T00:13:59","sa","5","","فري قود","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=a8f943ce-7f81-46b7-bce7-3fee4baa2c4f","","0","{""reviewId"": ""a8f943ce-7f81-46b7-bce7-3fee4baa2c4f"", ""userName"": ""Alkhalil Alsharfi"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjVWnRT2oSXjr7lB0CHoWc5ZBZsjxCQcJLD73vdLTcAAkpq_9a4"", ""content"": ""فري قود"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-26 00:13:59"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","6dc5d0d6-944f-4e7e-90fa-6d487b22bc3b","flow","Gift Emeka","2026-05-25T21:51:50","us","1","","its keeps changing my character to different people, Nigerians couple to white couple. website was better. I don't understand this, its frustrating. I tried different times still the same result.","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=6dc5d0d6-944f-4e7e-90fa-6d487b22bc3b","","0","{""reviewId"": ""6dc5d0d6-944f-4e7e-90fa-6d487b22bc3b"", ""userName"": ""Gift Emeka"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjVp0ug76Im4bveWQtVxLGL8BXN1VfPr2oBfE8JyL0izi5SSIaM"", ""content"": ""its keeps changing my character to different people, Nigerians couple to white couple. website was better. I don't understand this, its frustrating. I tried different times still the same result."", ""score"": 1, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": ""1.434.9"", ""at"": ""2026-05-25 21:51:50"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": ""1.434.9""}"
"play_store","b6ef9f6c-2e9c-4309-8dbd-da680d1956e6","flow","Mahedy Hasan","2026-05-25T21:33:58","us","3","","I can't download pictures of videos from the app I need to login on the web to download","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=b6ef9f6c-2e9c-4309-8dbd-da680d1956e6","","0","{""reviewId"": ""b6ef9f6c-2e9c-4309-8dbd-da680d1956e6"", ""userName"": ""Mahedy Hasan"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjWRPlgTADak4-n8n1ZvllFQ6AjchYDPuffBksG4GdsxEySvmett"", ""content"": ""I can't download pictures of videos from the app I need to login on the web to download"", ""score"": 3, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": null, ""at"": ""2026-05-25 21:33:58"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": null}"
"play_store","5a10555a-5613-473a-954d-400b89654463","flow","liam bobyk","2026-05-25T20:16:48","us","5","","I normally use Google flow on my computer, but this is very awesome now that they have the app. even though it's a beta work in progress. 😉✌️","https://play.google.com/store/apps/details?id=com.google.android.apps.labs.whisk&reviewId=5a10555a-5613-473a-954d-400b89654463","","0","{""reviewId"": ""5a10555a-5613-473a-954d-400b89654463"", ""userName"": ""liam bobyk"", ""userImage"": ""https://play-lh.googleusercontent.com/a-/ALV-UjVHUxUH04ugHdcdC9uHP9kGd504DclLkweE8LUsZZgx3F8FPEzd8g"", ""content"": ""I normally use Google flow on my computer, but this is very awesome now that they have the app. even though it's a beta work in progress. 😉✌️"", ""score"": 5, ""thumbsUpCount"": 0, ""reviewCreatedVersion"": null, ""at"": ""2026-05-25 20:16:48"", ""replyContent"": null, ""repliedAt"": null, ""appVersion"": null}"
